no,vol,article no,pages in range,publisher name,publisher location,publisher year
,,,2517-2526,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,279-287,Azerbaijan State University of Economics (UNEC),Baku,2019
,,,383-392,University North,Koprivnica,2019
,,,72-97,Faculty of Management University of Warsaw,Warsaw,2019
5,67,,1309-1323,Faculty of Law,Rabat,2019
,,,19-36,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,231-255,Azerbaijan State University of Economics (UNEC),Baku,2019
31,,,100-117,University North,Koprivnica,2019
9,,,2-8,Faculty of Management University of Warsaw,Warsaw,2019
,20,,199-212,Faculty of Law,Rabat,2019
,20,,141-156,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,177-188,"Springer, ",Cham,2019
4,21,,13-18,"Springer, ",Cham,2019
6,24,,748-766,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
,,,165-176,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,39-50,"Springer, ",Cham,2019
2,,,146-159,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
2,,,42-57,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,97-121,"Springer, ",Cham,2019
,,,84-96,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,223-237,University North,Koprivnica,2019
,20,,259-272,Faculty of Management University of Warsaw,Warsaw,2019
,,,122-132,Faculty of Law,Rabat,2019
,,,238-249,"Springer, ",Cham,2019
4,,,19-28,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,75-85,University North,Koprivnica,2019
20,11,,,Faculty of Management University of Warsaw,Warsaw,2019
2,63,,16-24,Faculty of Law,Rabat,2019
,,,5-16,"Springer, ",Cham,2019
19,11,,,"Springer, ",Cham,2019
,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
10,123,,906-911,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
7,63,,25-34,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
,,,1543-1548,"Springer, ",Cham,2019
,,,13-24,Wydawnictwo SGGW,Warszawa,2019
,,,,Wydawnictwo SGGW,Warszawa,2019
,,,163-177,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo SGGW,Warszawa,2019
,,,27-28,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,137-153,Wydawnictwo SGGW,Warszawa,2019
,14,,29-43,Wydawnictwo SGGW,Warszawa,2019
,,,276-285,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo SGGW,Warszawa,2019
11,11,,,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,231-240,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,19-20,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Polskie Wydawnictwo Ekonomiczne,Warszawa,2019
,,,76-92,Akademia Wychowania Fizycznego im. Bronis³awa Czecha w Krakowie,Kraków,2019
,,,732-750,Oficyna Wydawnicza SGH - Szko³a G³ówna Handlowa w Warszawie,Warszawa,2019
,,,115-126,Springer International Publishing,Cham,2019
2,,,41-57,"Presscom, ",Wroc³aw,2019
,,,,Springer International Publishing,Cham,2019
11,11,,,Akademia Wychowania Fizycznego im. Bronis³awa Czecha w Krakowie,Kraków,2019
1,4,,35-40,Oficyna Wydawnicza SGH - Szko³a G³ówna Handlowa w Warszawie,Warszawa,2019
,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,9-24,Faculty of Management University of Warsaw,Warsaw,2019
,,,129-139,Faculty of Law,Rabat,2019
,,,,Wydawnictwo Uniwersytetu £ódzkiego,£ódŸ,2019
,,,107-118,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,191-204,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,68-79,University North,Koprivnica,2019
7,63,,217-229,Faculty of Management University of Warsaw,Warsaw,2019
1,24,,155-177,Faculty of Law,Rabat,2019
,66,,84-93,Stowarzyszenie Ksiêgowych w Polsce - Zarz¹d G³ówny. Instytut Certyfikacji Zawodowej Ksiêgowych,Warszawa,2019
3,24,,334-354,Stowarzyszenie Ksiêgowych w Polsce - Zarz¹d G³ówny. Instytut Certyfikacji Zawodowej Ksiêgowych,Warszawa,2019
,,,,Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk ,Warszawa,2019
,,,9-24,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
7,63,,58-70,Faculty of Management University of Warsaw,Warsaw,2019
5,,,21-27,Faculty of Law,Rabat,2019
7,63,,172-183,Academic Conferences and Publishing International Limited,Reading,2019
,,,144-155,Publishing Office of Czestochowa University of Technology,Czêstochowa,2019
,,,156-174,Wydawnictwo Uniwersytetu Marii Curie-Sk³odowskiej,Lublin,2019
139,,,607-619,Instytut Rozwoju Wsi i Rolnictwa Polskiej Akademii Nauk ,Warszawa,2019
,6,,111-125,Wydawnictwo Naukowe Instytutu Technologii Eksploatacji Pañstwowego Instytutu Badawczego,Radom,2019
1,,,49-63,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,,Megatrend University,Belgrade,2019
1,,,65-85,University North,Koprivnica,2019
1,16,,91-97,Faculty of Management University of Warsaw,Warsaw,2019
1,16,,137-147,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,241-277,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
1,,,193-206,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,61-74,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,245-252,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
2,,,97-108,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
5,,,3-9,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,153-168,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
1,16,,70-79,Megatrend University,Belgrade,2019
1,83,,50-62,University North,Koprivnica,2019
,,,151-159,Faculty of Management University of Warsaw,Warsaw,2019
,,,12-13,Faculty of Law,Rabat,2019
,20,,283-301,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,,Megatrend University,Belgrade,2019
,,,211-212,University North,Koprivnica,2019
,20,,79-96,Faculty of Management University of Warsaw,Warsaw,2019
,,,1097-1124,Faculty of Law,Rabat,2019
,,,106-114,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
1,,,16-21,Megatrend University,Belgrade,2019
1,84,,33-42,University North,Koprivnica,2019
4,,,55-64,Faculty of Management University of Warsaw,Warsaw,2019
1,84,,13-32,Faculty of Law,Rabat,2019
2,7,,,"Springer, ",Cham,2019
1,84,,63-74,"Springer, ",Cham,2019
,1,,,"Springer, ",Cham,2019
1,15,,123-146,Laboratorium Wiedzy Artur Borcuch,Kielce,2019
1,84,,43-61,Laboratorium Wiedzy Artur Borcuch,Kielce,2019
,,,105-107,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,1753-1755,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Laboratorium Wiedzy Artur Borcuch,Kielce,2019
34,,,114-122,Institute of Electrical and Electronics Engineers,York,2019
,,,109-122,Polskie Towarzystwo Informatyczne,Warszawa,2019
,,,1451-1461,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,947-976,Laboratorium Wiedzy Artur Borcuch,Kielce,2019
1,20,,145-157,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
,,,386-394,Institute of Electrical and Electronics Engineers,York,2019
,,,56-68,Polskie Towarzystwo Informatyczne,Warszawa,2019
1,26,,195-211,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
,,,11-26,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
7,,,2-7,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,173-184,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
7,,,70-74,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,133-149,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
379,,,72-95,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,172-188,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,137-171,Wydawnictwo Akademii Wychowania Fizycznego w Katowicach,Katowice,2019
379,,,46-56,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,109-119,Wydawnictwo Akademii Wychowania Fizycznego w Katowicach,Katowice,2019
,,,3-4,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
38,,,5-11,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,University of South Bohemia in Ceske Budejovice,Budejovice,2019
2,18,,123-131,Wydawnictwo SGGW,Warszawa,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,19-20,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
32,10,,87-104,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,51-52,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,20-26,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
5,20,,1858-1869,Publishing House of the University of Economics in Katowice,Katowice,2019
4,,,41-60,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
1,3,,83-86,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
3,6,,,Wydawnictwo SGGW,Warszawa,2019
,,,215-224,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
1,25,,50-66,Wydawnictwo SGGW,Warszawa,2019
,,,151-163,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Gdañskiego,Sopot,2019
1,,,133-156,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
1,17,,155-166,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,191-206,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
2,23,,1-14,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
15,,,39-51,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Gdañskiego,Sopot,2019
,,,171-183,Wydawnictwo Uniwersytu Œl¹skiego,Katowice,2019
,,,83-99,Kyiv National University of Trade and Economics,Kyiv,2019
,35 ,,27-38,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
27,,,45-57,VSB - Technical University of Ostrava,Ostrava,2019
379,,,31-45,VSB - Technical University of Ostrava,Ostrava,2019
,55,,352-372,Kyiv National University of Trade and Economics,Kyiv,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,101-110,VSB - Technical University of Ostrava,Ostrava,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,159-170,Wydawnictwo Uniwersytu Œl¹skiego,Katowice,2019
,,,28-49,VSB - Technical University of Ostrava,Ostrava,2019
1,71,,54-71,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,149-158,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
,,,11-27,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,237-250,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
10,,,24-29,UNWE Publishing Complex,Sofia,2019
,,,579-588,Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego,Szczecin,2019
1,17,,212-238,Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego,Szczecin,2019
,,,,Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego,Szczecin,2019
,,,119-136,Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego,Szczecin,2019
,,,100-118,"CeDeWu, ",Warszawa,2019
,,,221-243,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,192-202,UNWE Publishing Complex,Sofia,2019
,,,263-280,Komitet Przestrzennego Zagospodarowania Kraju PAN,Warszawa,2019
,,,203-220,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,83-98,Wolters Kluwer,Warszawa,2019
,,,205-211,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,209-228,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,135-149,Dom Wydawniczy ELIPSA,Warsaw,2019
,,,,University of South Bohemia in Ceske Budejovice,Budejovice,2019
,,,133-141,VSB - Technical University of Ostrava,Ostrava,2019
,,,29-44,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,276-288,Dom Wydawniczy ELIPSA,Warsaw,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,247-259,Wydawnictwo Naukowe Uniwersytetu Przyrodniczo-Humanistycznego w Siedlcach,Siedlce,2019
,,,260-275,Ekonomiceskij fakultet MGU imieni M.V. Lomonosova,Moskva,2019
,,,,Publishing House of the University of Economics in Katowice,Katowice,2019
4,55,,319-330,Fundacja \,Katowice,
,,,39-48,Wydawnictwo Naukowe Scholar,Warszawa,2019
,,,,Publishing House of the University of Economics in Katowice,Katowice,2019
4,19,,993-1032,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,183-190,Fundacja \,Katowice,
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,236-252,Ekonomiceskij fakultet MGU imieni M.V. Lomonosova,Moskva,2019
,,,95-108,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,285-303,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,66-74,Wydawnictwo Naukowe Uniwersytetu Przyrodniczo-Humanistycznego w Siedlcach,Siedlce,2019
,,,152-160,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,"Springer, ",Cham,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,193-210,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,249-255,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,155-164,"Springer, ",Cham,2019
,,,103-111,"Springer, ",Cham,2019
,,,211-235,Wolters Kluwer,Warszawa,2019
,,,81-92,Lviv Polytechnic National University,Lviv,2019
,,,191-201,"Springer, ",Cham,2019
,,,,Wydawnictwo Naukowe Uniwersytetu Szczeciñskiego,Szczecin,2019
,,,53-64,Wydawnictwo Naukowe PWN,Warszawa,2019
,,,123-132,"Springer, ",Cham,2019
1,,,44-54,Edizioni Scientifiche Italiane,Napoli,2019
,,,276-289,Edizioni Scientifiche Italiane,Napoli,2019
45,,,23-40,"Springer, ",Cham,2019
5,17,,111-131,"Springer, ",Cham,2019
1,,,155-177,Wydawnictwo Spo³ecznej Akademii Nauk,Warszawa,2019
5,17,,24-39,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,19,,69-79,Wydawnictwo Naukowe Tygiel,Lublin,2019
,,,154-174,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,175-184,Wydawnictwo Naukowe Tygiel,Lublin,2019
,,,140-153,Wydawnictwo Spo³ecznej Akademii Nauk,Warszawa,2019
10,,,22-30,Wydawnictwo Naukowe Scholar,Warszawa,2019
,,,62-83,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
14,,,47-62,Wydawnictwo Spo³ecznej Akademii Nauk,Warszawa,2019
,,,,Pañstwowa Wy¿sza Szko³a Zawodowa im. Jana Grodka w Sanoku : Polskie Towarzystwo Historyczne,Sanok,2019
,,,415-420,Diamond Scientific Publication,Vilnius,2019
10,,,31-33,Pañstwowa Wy¿sza Szko³a Zawodowa im. Jana Grodka w Sanoku : Polskie Towarzystwo Historyczne,Sanok,2019
,,,,IGI Global ,Pennsylvania,2019
,,,109-147,Adam Mickiewicz University in Poznañ. Scientific Publisher of the Faculty of Political Science and Journalism,Poznañ,2019
,,,99-109,Adam Mickiewicz University in Poznañ. Scientific Publisher of the Faculty of Political Science and Journalism,Poznañ,2019
,,,31-39,Wydawnictwo Uniwersytetu Œl¹skiego,Katowice,2019
,,,187-210,"Difin, ",Warszawa,2019
,159,,2616-2628,IGI Global ,Pennsylvania,2019
,,,23-36,"CeDeWu, ",Warszawa,2019
,,,,Wydawnictwo C.H. Beck,Warszawa,2019
,,,11-22,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
,,,,Oficyna Wydawnicza Politechniki Rzeszowskiej,Rzeszów,2019
1,,,15-29,Uniwersytet Ekonomiczny we Wroc³awiu,Wroc³aw,2019
,,,167-183,Mateusz Weiland Network Solutions,S³upsk,2019
1,,,2-8,Oficyna Wydawnicza Politechniki Rzeszowskiej,Rzeszów,2019
1,,,209-221,Mateusz Weiland Network Solutions,S³upsk,2019
,,,11-21,Uniwersytet Ekonomiczny we Wroc³awiu,Wroc³aw,2019
,,,,Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego,Warszawa,2019
,,,73-86,Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego,Warszawa,2019
,,,41-53,Wydawnictwo Naukowe Wydzia³u Zarz¹dzania Uniwersytetu Warszawskiego,Warszawa,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,76-86,"MELANDRIUM, ",Macakova,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Gdañsk,2019
,,,55-75,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,"CeDeWu, ",Warszawa,2019
389,,,101-117,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
,,,81-108,Vidavnictvo \S. ,Herson,
,,,99-107,Vidavnictvo \S. ,Herson,
,,,87-98,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
389,,,20-37,"MELANDRIUM, ",Macakova,2019
,,,37-44,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
12,,,58-62,Wydawnictwo Uniwersytetu Gdañskiego,Gdañsk,2019
,,,279-289,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,68-80,Springer International Publishing,Cham,2019
,117,,61-77,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,13-39,Wydawnictwo Uniwersytetu Œl¹skiego,Katowice,2019
,,,40-67,M³odzi Naukowcy,Poznañ,2019
,,,493-503,M³odzi Naukowcy,Poznañ,2019
,,,145-168,M³odzi Naukowcy,Poznañ,2019
,,,125-141,M³odzi Naukowcy,Poznañ,2019
,,,,Wydawnictwo Uniwersytetu Œl¹skiego,Katowice,2019
1,,,19-31,M³odzi Naukowcy,Poznañ,2019
8,63,,143-153,"CeDeWu, ",Warszawa,2019
,,,124-130,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,261-278,M³odzi Naukowcy,Poznañ,2019
4,,,21-24,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,M³odzi Naukowcy,Poznañ,2019
,,,243-260,Diamond Scientific Publication,Rome,2019
,,,133-152,Diamond Scientific Publication,Rome,2019
,,,167-173,STEF92 Technology,Sofia,2019
1,,,35-43,Diamond Scientific Publication,Rome,2019
,,,,STEF92 Technology,Sofia,2019
3,20,,424-445,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,81-113,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
31,51,,3389-3400,Academic Conferences and Publishing International Limited,Reading,2019
4,,,5-12,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
,,,,Academic Conferences and Publishing International Limited,Reading,2019
,,,301-313,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,291-299,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
,,,13473-13488,"Springer, ",Cham,2019
2,6,,76-88,"Springer, ",Cham,2019
2,13,,81-88,"Springer, ",Cham,2019
,,,37-50,"Springer, ",Cham,2019
340,1,,73-89,"Springer, ",Cham,2019
,20,,197-208,"Springer, ",Cham,2019
2,6,,22-31,Wydawnictwo Politechniki Czêstochowskiej,Czêstochowa,2019
2,35,,193-203,"Springer, ",Cham,2019
,,,180002-1,"Springer, ",Cham,2019
,20,,191-207,"Springer, ",Cham,2019
,,,200-223,"Springer, ",Cham,2019
1,18,,61-72,Publishing House of the University of Economics in Katowice,Katowice,2019
,20,,53-67,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,10869-10879,Publishing House of the University of Economics in Katowice,Katowice,2019
,,,12816-12822,Publishing House of the University of Economics in Katowice,Katowice,2019
,122,,218-230,Publishing House of the University of Economics in Katowice,Katowice,2019
,20,,155-169,Publishing House of the University of Economics in Katowice,Katowice,2019
,20,,139-152,Wydawnictwo Poltext,Warszawa,2019
,55,,411-428,University of Hawai'i at Manoa,Manoa,2019
,,,117-124,University of Hawai'i at Manoa,Manoa,2019
,,,,"CeDeWu, ",Warszawa,2019
,,,,Wydawnictwo SGGW,Warszawa,2019
3,11,,,Wydawnictwo AMPoligrafia,Katowice,2019
,,,,Wydawnictwo SGGW,Warszawa,2019
,,,,Wydawnictwo C.H. Beck,Warszawa,2019
,164,,11-18,Springer Nature Switzerland,Cham,2019
,,,9-25,"Difin, ",Warszawa,2019
,101,,133-148,Springer Nature Switzerland,Cham,2019
,,,91-107,Springer Nature Switzerland,Cham,2019
4,23,,80-95,Obuda University Keleti Faculty of Business and Management,Budapest,2019
140,,,351-364,Wydawnictwo C.H. Beck,Warszawa,2019
139,,,575-586,Obuda University Keleti Faculty of Business and Management,Budapest,2019
,,,,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
2,59,,116-126,Springer Nature Switzerland,Cham,2019
4,10,,589-602,Obuda University Keleti Faculty of Business and Management,Budapest,2019
,,,57-68,"SportWin, ",Poznañ,2019
,,,,Masaryk University,Brno,2019
,,,21-43,Masaryk University,Brno,2019
386,,,122-134,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
386,,,135-144,Study Centre for European Policy Studies (CEPS),Lisbon,2019
386,,,95-107,Centre for Research in Political Science,Lisbon,2019
386,,,108-121,Fundacao para a Ciencia e a Tecnologia (FCT),Lisbon,2019
5,63,,19-28,The Research Unit on Governance,Aveiro,2019
,,,,University North,Koprivnica,2019
5,63,,78-89,Faculty of Management University of Warsaw,Warsaw,2019
,,,45-54,Faculty of Law,Rabat,2019
23,,,9-22,Masaryk University,Brno,2019
,,,,Varazdin Development and Entrepreneurship Agency,Varazdin,2019
,,,,Study Centre for European Policy Studies (CEPS),Lisbon,2019
2,,,49-59,Centre for Research in Political Science,Lisbon,2019
4,20,,153-166,Fundacao para a Ciencia e a Tecnologia (FCT),Lisbon,2019
,,,163-176,The Research Unit on Governance,Aveiro,2019
3,7,,120-125,University North,Koprivnica,2019
3,20,,9-19,Faculty of Management University of Warsaw,Warsaw,2019
,,,,Faculty of Law,Rabat,2019
,,,79-93,Izdatel'stvo Kazanskogo Universiteta,Kazan,2019
4,14,,742-749,Wydawnictwo Uniwersytetu Ekonomicznego w Katowicach,Katowice,2019
